paper,venue,date,citation
"A Survey of Information Cascade Analysis: Models, Predictions, and Recent Advances","CSUR 21","2021/03/01",39
"Variational Information Diffusion for Probabilistic Cascades Prediction","INFOCOM 20","2020/07/06",14
"A Heterogeneous Dynamical Graph Neural Networks Approach to Quantify Scientific Impact","arXiv 20","2020/03/26",6
"Continual Information Cascade Learning","GLOBECOM 20","2020/12/07",5
