"weight";"word";"color";"url"
"27";"information cascade"
"18";"information diffusion"
"13";"neural network"
"10";"social network"
"9";"graph neural network"
"9";"cascade graph"
"8";"cascade prediction"
"5";"popularity prediction"
"5";"information cascade graph"
"4";"graph learning"
"4";"scientific impact"
